LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
16.0,27.0,2.0,12.0,14.0,13.0,8.0,62.0,114.83,11.5,15185.86,0.44,212.0,0.09,843.66,1320.51,92.0,120.0,60.0,15.0,94.0,b'Y'
14.0,12.0,0.0,0.0,11.0,1.0,1.0,62.0,27.23,24.09,15801.66,0.22,125.0,0.04,877.87,655.99,39.0,86.0,17.0,21.0,79.0,b'N'
6.0,9.0,0.0,2.0,5.0,3.0,1.0,27.0,25.95,22.91,13621.99,0.2,115.0,0.04,756.78,594.54,41.0,74.0,17.0,19.0,38.0,b'N'
6.0,19.0,0.0,0.0,10.0,3.0,7.0,26.0,27.63,21.18,12391.41,0.2,116.0,0.05,688.41,585.15,45.0,71.0,17.0,16.0,37.0,b'N'
3.0,23.0,0.0,0.0,12.0,1.0,1.0,24.0,13.23,33.0,14404.99,0.15,101.0,0.03,800.28,436.51,44.0,57.0,8.0,12.0,29.0,b'N'
8.0,11.0,0.0,4.0,6.0,5.0,4.0,38.0,46.35,16.0,11864.41,0.25,147.0,0.06,659.13,741.53,56.0,91.0,21.0,12.0,53.0,b'Y'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,31.0,62.09,13.79,11804.52,0.29,155.0,0.07,655.81,856.15,70.0,85.0,33.0,13.0,35.0,b'N'
2.0,17.0,1.0,8.0,9.0,2.0,8.0,14.0,24.56,22.45,12380.3,0.18,101.0,0.04,687.79,551.4,41.0,60.0,21.0,23.0,25.0,b'N'
11.0,16.0,1.0,13.0,11.0,4.0,1.0,58.0,49.25,17.86,15709.76,0.29,145.0,0.06,872.76,879.58,64.0,81.0,43.0,24.0,83.0,b'N'
5.0,17.0,0.0,5.0,9.0,3.0,6.0,35.0,27.41,23.5,15139.0,0.21,118.0,0.04,841.06,644.21,47.0,71.0,22.0,22.0,47.0,b'Y'
4.0,17.0,0.0,0.0,9.0,1.0,8.0,32.0,19.2,25.97,12946.24,0.17,98.0,0.04,719.24,498.57,41.0,57.0,15.0,19.0,38.0,b'N'
8.0,9.0,0.0,5.0,5.0,5.0,3.0,35.0,38.9,18.75,13675.98,0.24,138.0,0.05,759.78,729.39,60.0,78.0,24.0,15.0,50.0,b'N'
11.0,15.0,6.0,4.0,8.0,7.0,1.0,31.0,32.29,22.26,16005.55,0.24,137.0,0.04,889.2,718.97,55.0,82.0,21.0,17.0,55.0,b'N'
14.0,13.0,0.0,0.0,12.0,2.0,1.0,70.0,42.98,18.38,14512.58,0.26,136.0,0.05,806.25,789.8,49.0,87.0,32.0,24.0,86.0,b'Y'
4.0,13.0,0.0,2.0,7.0,5.0,1.0,33.0,42.38,18.79,14958.55,0.27,139.0,0.05,831.03,796.18,62.0,77.0,33.0,20.0,41.0,b'Y'
9.0,9.0,2.0,2.0,5.0,4.0,1.0,27.0,47.18,16.72,13185.3,0.26,142.0,0.06,732.52,788.75,59.0,83.0,30.0,17.0,46.0,b'N'
5.0,13.0,0.0,0.0,7.0,6.0,1.0,38.0,23.58,24.67,14348.35,0.19,121.0,0.04,797.13,581.69,37.0,84.0,12.0,16.0,45.0,b'Y'
7.0,9.0,0.0,0.0,5.0,5.0,1.0,32.0,30.81,20.63,13113.3,0.21,126.0,0.05,728.52,635.59,56.0,70.0,19.0,14.0,41.0,b'Y'
8.0,15.0,0.0,13.0,8.0,7.0,1.0,27.0,24.59,23.16,13184.02,0.19,111.0,0.04,732.45,569.35,39.0,72.0,16.0,19.0,50.0,b'Y'
3.0,9.0,0.0,0.0,5.0,4.0,1.0,18.0,26.36,22.0,12759.36,0.19,114.0,0.05,708.85,579.97,44.0,70.0,17.0,17.0,23.0,b'N'
5.0,17.0,0.0,1.0,9.0,3.0,6.0,23.0,23.59,25.88,15796.57,0.2,120.0,0.04,877.59,610.5,46.0,74.0,16.0,18.0,31.0,b'N'
6.0,13.0,0.0,2.0,7.0,5.0,6.0,41.0,58.54,15.65,14331.67,0.31,164.0,0.06,796.2,915.93,76.0,88.0,34.0,14.0,53.0,b'N'
1.0,25.0,1.0,0.0,13.0,11.0,12.0,26.0,28.89,22.37,14455.38,0.22,125.0,0.04,803.08,646.24,50.0,75.0,19.0,17.0,30.0,b'N'
2.0,13.0,0.0,0.0,7.0,4.0,1.0,30.0,30.6,21.0,13493.48,0.21,117.0,0.05,749.64,642.55,48.0,69.0,24.0,21.0,35.0,b'N'
7.0,7.0,0.0,0.0,4.0,3.0,3.0,21.0,35.2,20.57,14895.77,0.24,137.0,0.05,827.54,724.1,48.0,89.0,21.0,18.0,30.0,b'Y'
7.0,9.0,0.0,0.0,5.0,3.0,1.0,36.0,61.66,16.2,16181.61,0.33,172.0,0.06,898.98,998.87,81.0,91.0,40.0,16.0,43.0,b'N'
1.0,11.0,0.0,6.0,6.0,4.0,1.0,47.0,44.86,18.33,15077.27,0.27,166.0,0.05,837.63,822.4,77.0,89.0,21.0,10.0,56.0,b'N'
7.0,13.0,0.0,0.0,7.0,7.0,1.0,45.0,34.7,19.08,12631.04,0.22,122.0,0.05,701.72,662.0,53.0,69.0,25.0,18.0,54.0,b'N'
1.0,13.0,0.0,3.0,7.0,5.0,7.0,14.0,10.07,40.07,16167.89,0.13,88.0,0.02,898.22,403.48,33.0,55.0,7.0,17.0,20.0,b'N'
4.0,11.0,0.0,2.0,6.0,5.0,1.0,48.0,49.96,17.0,14439.21,0.28,149.0,0.06,802.18,849.37,70.0,79.0,35.0,17.0,56.0,b'N'
11.0,9.0,0.0,13.0,5.0,2.0,4.0,28.0,39.83,20.15,16169.62,0.27,147.0,0.05,898.31,802.54,64.0,83.0,27.0,17.0,54.0,b'Y'
8.0,15.0,0.0,9.0,8.0,6.0,7.0,31.0,45.81,16.69,12752.83,0.25,140.0,0.06,708.49,764.32,53.0,87.0,27.0,17.0,50.0,b'N'
8.0,21.0,0.0,9.0,11.0,3.0,9.0,32.0,25.71,24.94,15988.94,0.21,125.0,0.04,888.27,641.16,42.0,83.0,16.0,19.0,51.0,b'N'
9.0,13.0,0.0,0.0,7.0,5.0,3.0,35.0,30.34,21.47,13988.36,0.22,127.0,0.05,777.13,651.42,51.0,76.0,19.0,16.0,46.0,b'N'
3.0,29.0,0.0,0.0,15.0,7.0,15.0,36.0,32.22,21.33,14662.91,0.23,134.0,0.05,814.61,687.32,64.0,70.0,21.0,14.0,43.0,b'N'
11.0,13.0,0.0,6.0,7.0,5.0,1.0,44.0,50.34,16.0,12886.65,0.27,145.0,0.06,715.92,805.42,62.0,83.0,31.0,16.0,63.0,b'N'
10.0,7.0,0.0,1.0,4.0,2.0,1.0,29.0,19.68,26.4,13716.72,0.17,103.0,0.04,762.04,519.57,44.0,59.0,15.0,18.0,42.0,b'N'
7.0,7.0,1.0,4.0,4.0,3.0,1.0,21.0,40.44,17.37,12202.02,0.23,132.0,0.06,677.89,702.49,47.0,85.0,23.0,17.0,35.0,b'N'
2.0,11.0,0.0,1.0,6.0,5.0,3.0,21.0,16.27,28.05,12803.96,0.15,96.0,0.04,711.33,456.47,33.0,63.0,10.0,17.0,26.0,b'N'
7.0,7.0,1.0,7.0,6.0,6.0,1.0,42.0,36.28,18.67,12641.61,0.23,130.0,0.05,702.31,677.23,49.0,81.0,21.0,16.0,60.0,b'N'
1.0,11.0,0.0,0.0,6.0,3.0,5.0,9.0,30.07,22.5,15224.23,0.23,133.0,0.04,845.79,676.63,40.0,93.0,16.0,18.0,12.0,b'N'
7.0,11.0,0.0,1.0,6.0,3.0,6.0,24.0,17.66,30.0,15889.84,0.18,105.0,0.03,882.77,529.66,39.0,66.0,13.0,20.0,34.0,b'Y'
7.0,11.0,1.0,13.0,6.0,5.0,5.0,33.0,33.82,20.58,14323.04,0.23,126.0,0.05,795.72,695.97,49.0,77.0,25.0,21.0,57.0,b'N'
4.0,11.0,2.0,0.0,6.0,4.0,1.0,29.0,22.09,23.75,12459.65,0.17,104.0,0.04,692.2,524.62,35.0,69.0,14.0,19.0,37.0,b'N'
9.0,13.0,0.0,11.0,7.0,7.0,6.0,32.0,37.28,20.89,16271.82,0.26,141.0,0.05,903.99,778.82,65.0,76.0,28.0,18.0,54.0,b'N'
4.0,19.0,0.0,0.0,10.0,3.0,6.0,19.0,20.3,24.89,12579.06,0.17,102.0,0.04,698.84,505.33,41.0,61.0,14.0,17.0,25.0,b'N'
4.0,7.0,0.0,0.0,4.0,3.0,1.0,24.0,30.87,21.91,14824.86,0.23,128.0,0.05,823.6,676.53,63.0,65.0,23.0,16.0,30.0,b'N'
6.0,13.0,0.0,5.0,7.0,5.0,5.0,25.0,33.02,20.83,14320.27,0.23,132.0,0.05,795.57,687.65,49.0,83.0,20.0,17.0,39.0,b'Y'
8.0,5.0,0.0,4.0,3.0,2.0,1.0,33.0,55.9,14.95,12492.89,0.28,154.0,0.07,694.05,835.64,69.0,85.0,30.0,13.0,53.0,b'Y'
5.0,11.0,0.0,0.0,6.0,5.0,4.0,24.0,23.82,22.63,12200.93,0.18,102.0,0.04,677.83,539.11,43.0,59.0,19.0,20.0,31.0,b'N'
1.0,23.0,0.0,0.0,12.0,11.0,11.0,25.0,32.4,20.57,13717.23,0.22,128.0,0.05,762.07,666.81,54.0,74.0,21.0,16.0,28.0,b'N'
10.0,9.0,1.0,3.0,5.0,5.0,1.0,45.0,65.89,15.6,16035.27,0.34,177.0,0.06,890.85,1027.9,78.0,99.0,40.0,16.0,61.0,b'N'
4.0,15.0,0.0,8.0,8.0,4.0,5.0,29.0,30.14,22.82,15688.14,0.23,133.0,0.04,871.56,687.6,51.0,82.0,19.0,17.0,43.0,b'N'
1.0,17.0,1.0,0.0,9.0,4.0,8.0,24.0,12.37,32.5,13063.03,0.13,93.0,0.03,725.72,401.94,35.0,58.0,7.0,13.0,30.0,b'N'
7.0,9.0,0.0,0.0,5.0,3.0,4.0,33.0,44.35,17.28,13248.25,0.26,138.0,0.06,736.01,766.53,61.0,77.0,30.0,17.0,42.0,b'N'
6.0,7.0,0.0,4.0,4.0,4.0,1.0,24.0,42.16,16.55,11541.82,0.23,136.0,0.06,641.21,697.58,56.0,80.0,22.0,13.0,38.0,b'N'
43.0,1.0,0.0,0.0,1.0,1.0,1.0,60.0,559.62,4.93,13602.7,0.92,425.0,0.2,755.71,2759.04,212.0,213.0,86.0,4.0,105.0,b'N'
8.0,19.0,0.0,6.0,10.0,9.0,8.0,46.0,40.53,18.24,13485.6,0.25,138.0,0.05,749.2,739.34,57.0,81.0,25.0,16.0,62.0,b'N'
3.0,13.0,0.0,2.0,8.0,1.0,1.0,28.0,11.58,37.29,16102.9,0.14,93.0,0.03,894.61,431.88,29.0,64.0,7.0,18.0,35.0,b'N'
9.0,11.0,1.0,1.0,6.0,5.0,1.0,37.0,46.53,17.33,13978.29,0.27,146.0,0.06,776.57,806.44,65.0,81.0,30.0,16.0,50.0,b'N'
3.0,17.0,0.0,2.0,9.0,4.0,9.0,17.0,17.57,26.25,12107.75,0.15,94.0,0.04,672.65,461.25,35.0,59.0,12.0,18.0,25.0,b'N'
11.0,5.0,0.0,7.0,3.0,3.0,1.0,35.0,108.64,10.29,11493.95,0.37,197.0,0.1,638.55,1117.47,96.0,101.0,42.0,9.0,55.0,b'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,27.0,30.84,19.79,12079.19,0.2,119.0,0.05,671.07,610.38,47.0,72.0,19.0,16.0,30.0,b'Y'
14.0,7.0,0.0,0.0,4.0,3.0,4.0,32.0,44.69,18.07,14589.43,0.27,155.0,0.06,810.52,807.47,53.0,102.0,22.0,15.0,48.0,b'N'
9.0,17.0,4.0,0.0,9.0,9.0,1.0,22.0,36.24,19.5,13780.28,0.24,147.0,0.05,765.57,706.68,52.0,95.0,16.0,12.0,38.0,b'N'
6.0,13.0,0.0,0.0,7.0,7.0,5.0,43.0,33.5,20.95,14705.2,0.23,131.0,0.05,816.96,701.84,44.0,87.0,21.0,20.0,51.0,b'Y'
5.0,9.0,0.0,0.0,5.0,3.0,4.0,24.0,12.66,30.81,12019.46,0.13,84.0,0.03,667.75,390.08,29.0,55.0,8.0,17.0,31.0,b'N'
8.0,39.0,0.0,36.0,20.0,2.0,20.0,53.0,36.42,19.0,13146.0,0.23,136.0,0.05,730.33,691.89,38.0,98.0,17.0,17.0,99.0,b'Y'
9.0,10.0,6.0,0.0,6.0,6.0,1.0,43.0,52.31,17.16,15395.56,0.3,159.0,0.06,855.31,897.37,61.0,98.0,32.0,18.0,60.0,b'N'
6.0,13.0,1.0,0.0,7.0,5.0,3.0,32.0,33.07,18.75,11627.18,0.21,115.0,0.05,645.95,620.12,50.0,65.0,24.0,18.0,41.0,b'Y'
9.0,13.0,0.0,0.0,7.0,7.0,3.0,21.0,45.99,16.2,12070.13,0.25,140.0,0.06,670.56,745.07,54.0,86.0,25.0,15.0,32.0,b'N'
3.0,9.0,0.0,3.0,5.0,3.0,3.0,27.0,16.85,29.29,14452.03,0.16,97.0,0.03,802.89,493.48,41.0,56.0,14.0,20.0,33.0,b'N'
4.0,11.0,0.0,1.0,6.0,2.0,6.0,24.0,32.79,21.44,15069.64,0.23,128.0,0.05,837.2,702.96,49.0,79.0,24.0,21.0,32.0,b'N'
10.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,78.09,13.4,14021.41,0.35,204.0,0.07,778.97,1046.36,67.0,137.0,25.0,10.0,51.0,b'Y'
13.0,11.0,0.0,0.0,10.0,2.0,1.0,58.0,35.85,19.0,12942.93,0.23,128.0,0.05,719.05,681.21,42.0,86.0,21.0,19.0,74.0,b'Y'
16.0,7.0,0.0,3.0,4.0,4.0,1.0,28.0,46.75,16.19,12247.78,0.25,137.0,0.06,680.43,756.73,46.0,91.0,27.0,19.0,49.0,b'Y'
3.0,9.0,2.0,1.0,5.0,1.0,3.0,36.0,25.53,24.5,15326.24,0.21,121.0,0.04,851.46,625.56,49.0,72.0,18.0,18.0,47.0,b'Y'
15.0,1.0,0.0,19.0,1.0,1.0,1.0,27.0,70.45,14.15,14113.4,0.33,196.0,0.07,784.08,997.14,92.0,104.0,26.0,8.0,64.0,b'N'
4.0,5.0,0.0,0.0,3.0,1.0,1.0,38.0,78.46,12.88,13018.74,0.34,180.0,0.08,723.26,1010.65,89.0,91.0,38.0,11.0,44.0,b'N'
1.0,19.0,0.0,0.0,10.0,9.0,10.0,25.0,32.67,20.57,13824.4,0.22,129.0,0.05,768.02,672.02,54.0,75.0,21.0,16.0,28.0,b'N'
9.0,5.0,0.0,1.0,3.0,1.0,1.0,33.0,25.49,22.93,13406.72,0.19,118.0,0.04,744.82,584.6,43.0,75.0,15.0,16.0,45.0,b'Y'
3.0,15.0,0.0,0.0,8.0,2.0,6.0,18.0,13.16,31.0,12649.91,0.14,89.0,0.03,702.77,408.06,31.0,58.0,8.0,16.0,23.0,b'N'
4.0,9.0,0.0,0.0,5.0,2.0,1.0,27.0,27.63,20.7,11840.9,0.19,109.0,0.05,657.83,572.02,46.0,63.0,20.0,18.0,33.0,b'N'
3.0,11.0,3.0,0.0,6.0,4.0,3.0,34.0,52.41,15.0,11792.37,0.26,144.0,0.07,655.13,786.16,58.0,86.0,29.0,15.0,42.0,b'N'
12.0,1.0,2.0,0.0,1.0,1.0,1.0,62.0,188.12,8.87,14789.29,0.56,274.0,0.11,821.63,1667.96,133.0,141.0,60.0,8.0,78.0,b'N'
4.0,13.0,0.0,0.0,7.0,3.0,6.0,21.0,11.16,32.22,11583.59,0.12,74.0,0.03,643.53,359.49,29.0,45.0,9.0,20.0,27.0,b'N'
7.0,7.0,0.0,2.0,4.0,2.0,4.0,23.0,29.88,21.55,13878.89,0.21,121.0,0.05,771.05,643.95,39.0,82.0,19.0,21.0,36.0,b'N'
10.0,11.0,0.0,17.0,6.0,6.0,5.0,40.0,40.7,18.18,13453.78,0.25,141.0,0.06,747.43,739.96,50.0,91.0,22.0,16.0,69.0,b'N'
9.0,1.0,0.0,1.0,1.0,1.0,1.0,51.0,160.61,8.6,11889.23,0.46,233.0,0.12,660.51,1381.86,114.0,119.0,53.0,8.0,63.0,b'N'
15.0,15.0,0.0,13.0,8.0,7.0,1.0,62.0,76.77,13.43,13846.63,0.34,176.0,0.07,769.26,1031.0,77.0,99.0,43.0,15.0,92.0,b'Y'
5.0,15.0,0.0,6.0,8.0,6.0,1.0,42.0,40.86,19.8,16016.87,0.27,152.0,0.05,889.83,808.93,66.0,86.0,25.0,15.0,56.0,b'N'
1.0,13.0,0.0,4.0,7.0,4.0,7.0,36.0,45.15,17.43,13714.99,0.26,156.0,0.06,761.94,786.93,61.0,95.0,21.0,12.0,45.0,b'N'
2.0,27.0,1.0,0.0,14.0,13.0,14.0,32.0,47.94,17.64,14917.52,0.28,160.0,0.06,828.75,845.66,63.0,97.0,25.0,14.0,37.0,b'N'
7.0,5.0,0.0,2.0,3.0,2.0,1.0,19.0,20.24,24.23,11881.56,0.16,102.0,0.04,660.09,490.35,42.0,60.0,13.0,15.0,30.0,b'N'
5.0,13.0,0.0,0.0,7.0,3.0,4.0,34.0,36.69,20.66,15664.53,0.25,133.0,0.05,870.25,758.16,61.0,72.0,31.0,21.0,39.0,b'N'
4.0,25.0,1.0,2.0,13.0,9.0,12.0,51.0,60.3,14.06,11920.88,0.28,151.0,0.07,662.27,847.82,58.0,93.0,33.0,16.0,60.0,b'Y'
3.0,5.0,0.0,1.0,3.0,3.0,1.0,32.0,35.54,20.36,14738.99,0.24,140.0,0.05,818.83,723.79,64.0,76.0,22.0,14.0,38.0,b'N'
3.0,21.0,0.0,0.0,11.0,4.0,1.0,28.0,26.69,23.4,14613.38,0.21,119.0,0.04,811.85,624.5,52.0,67.0,20.0,18.0,37.0,b'N'
8.0,17.0,4.0,13.0,9.0,8.0,6.0,46.0,45.41,16.64,12574.87,0.25,144.0,0.06,698.6,755.7,64.0,80.0,25.0,13.0,73.0,b'N'
5.0,23.0,0.0,6.0,12.0,12.0,12.0,35.0,48.26,18.31,16173.75,0.29,166.0,0.05,898.54,883.44,68.0,98.0,26.0,14.0,48.0,b'N'
20.0,9.0,0.0,4.0,5.0,5.0,1.0,27.0,48.82,18.0,15816.54,0.29,160.0,0.06,878.7,878.7,54.0,106.0,27.0,18.0,53.0,b'Y'
7.0,7.0,1.0,0.0,4.0,3.0,1.0,27.0,27.06,24.44,16166.83,0.22,130.0,0.04,898.16,661.37,55.0,75.0,18.0,16.0,37.0,b'N'
9.0,21.0,2.0,15.0,11.0,7.0,3.0,35.0,28.31,23.33,15415.76,0.22,125.0,0.04,856.43,660.68,40.0,85.0,18.0,21.0,63.0,b'Y'
4.0,10.0,0.0,1.0,7.0,4.0,1.0,30.0,24.32,24.89,15071.36,0.2,113.0,0.04,837.3,605.4,43.0,70.0,19.0,22.0,37.0,b'N'
1.0,11.0,0.0,0.0,6.0,5.0,6.0,15.0,16.2,27.77,12496.15,0.15,90.0,0.04,694.23,450.0,38.0,52.0,13.0,19.0,18.0,b'N'
1.0,21.0,0.0,0.0,11.0,2.0,1.0,19.0,37.6,18.24,12508.38,0.23,128.0,0.05,694.91,685.77,57.0,71.0,25.0,16.0,20.0,b'Y'
6.0,7.0,4.0,1.0,5.0,4.0,1.0,31.0,45.69,18.28,15270.16,0.28,148.0,0.05,848.34,835.29,65.0,83.0,32.0,18.0,45.0,b'Y'
18.0,13.0,0.0,6.0,7.0,7.0,4.0,31.0,65.31,14.0,12800.27,0.3,162.0,0.07,711.13,914.3,72.0,90.0,36.0,14.0,58.0,b'N'
3.0,13.0,0.0,2.0,7.0,5.0,7.0,37.0,48.83,17.91,15670.39,0.29,152.0,0.06,870.58,874.74,66.0,86.0,35.0,19.0,42.0,b'N'
1.0,17.0,0.0,0.0,9.0,5.0,1.0,24.0,30.09,22.67,15459.98,0.23,139.0,0.04,858.89,682.06,68.0,71.0,18.0,12.0,27.0,b'N'
5.0,7.0,0.0,5.0,4.0,3.0,1.0,30.0,50.91,15.46,12171.15,0.26,150.0,0.06,676.18,787.19,67.0,83.0,26.0,12.0,42.0,b'N'
5.0,19.0,0.0,11.0,10.0,4.0,3.0,29.0,22.98,23.5,12690.0,0.18,108.0,0.04,705.0,540.0,47.0,61.0,16.0,16.0,50.0,b'N'
7.0,5.0,0.0,0.0,3.0,2.0,3.0,23.0,60.63,15.63,14801.48,0.32,167.0,0.06,822.3,947.3,75.0,92.0,36.0,15.0,32.0,b'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,63.0,567.46,5.06,14514.63,0.96,441.0,0.2,806.37,2869.94,220.0,221.0,87.0,4.0,67.0,b'N'
3.0,19.0,0.0,2.0,10.0,5.0,10.0,18.0,19.23,27.04,14060.0,0.17,104.0,0.04,781.11,520.0,37.0,67.0,13.0,19.0,26.0,b'N'
2.0,19.0,0.0,1.0,10.0,1.0,10.0,16.0,19.53,27.82,15111.7,0.18,113.0,0.04,839.54,543.23,36.0,77.0,11.0,17.0,23.0,b'N'
4.0,7.0,0.0,17.0,4.0,4.0,1.0,34.0,56.53,14.69,12198.59,0.28,155.0,0.07,677.7,830.42,71.0,84.0,29.0,12.0,57.0,b'N'
