LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3.0,5.0,8.0,0.0,2.0,8.0,3.0,0.19,4.0,3.0,1.0,16.0,1.0,0.0,16.0,0.0,0.0,0.0,39.78,6.19,1522.89,0.08,53.0,0.16,84.61,246.12,0.0,2.0,4.0,15.0,0.13,22.0,31.0,16.0,9.0,23.0,11.11,16.0,b'N'
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,16.05,10.31,1708.46,0.06,39.0,0.1,94.91,165.67,1.0,0.0,0.0,8.0,0.09,15.0,24.0,8.0,11.0,11.0,0.0,9.0,b'N'
1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.11,0.0,1.0,1.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,46.84,5.97,1669.87,0.09,61.0,0.17,92.77,279.68,1.0,0.0,0.0,4.0,0.07,29.0,32.0,17.0,7.0,14.0,18.18,9.0,b'N'
3.0,5.0,1.0,6.0,0.0,8.0,3.0,0.19,4.0,1.0,0.0,11.0,1.0,0.0,10.0,0.0,0.0,0.0,14.41,12.0,2074.53,0.06,40.0,0.08,115.25,172.88,0.0,2.0,4.0,10.0,0.14,16.0,24.0,8.0,12.0,21.0,37.5,16.0,b'N'
4.0,5.0,5.0,0.0,4.0,8.0,3.0,0.2,4.0,3.0,1.0,18.0,1.0,0.0,15.0,0.0,3.0,1.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,0.0,2.0,4.0,17.0,0.12,24.0,31.0,18.0,9.0,25.0,21.05,15.0,b'N'
6.0,3.0,3.0,0.0,4.0,4.0,2.0,0.13,2.0,2.0,1.0,9.0,1.0,0.0,15.0,1.0,2.0,1.0,17.93,10.0,1793.07,0.06,43.0,0.1,99.61,179.31,0.0,1.0,2.0,9.0,0.07,16.0,27.0,8.0,10.0,27.0,21.05,15.0,b'N'
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,110.73,3.48,1339.64,0.13,81.0,0.29,74.42,385.15,1.0,0.0,0.0,10.0,0.09,40.0,41.0,23.0,4.0,11.0,0.0,9.0,b'N'
1.0,3.0,6.0,0.0,0.0,4.0,2.0,0.25,2.0,1.0,0.0,11.0,1.0,0.0,8.0,0.0,0.0,0.0,15.07,9.75,1432.72,0.05,34.0,0.1,79.6,146.95,0.0,1.0,2.0,11.0,0.18,13.0,21.0,8.0,12.0,11.0,0.0,8.0,b'N'
4.0,3.0,0.0,6.0,0.0,4.0,2.0,0.13,2.0,1.0,0.0,6.0,1.0,0.0,9.0,1.0,2.0,1.0,30.88,8.07,2009.59,0.08,53.0,0.12,111.64,249.12,0.0,1.0,2.0,6.0,0.1,22.0,31.0,15.0,11.0,21.0,40.0,15.0,b'N'
2.0,5.0,1.0,0.0,0.0,8.0,3.0,0.3,4.0,2.0,0.0,12.0,1.0,0.0,10.0,0.0,3.0,1.0,26.35,7.5,1482.41,0.07,45.0,0.13,82.36,197.65,0.0,2.0,4.0,11.0,0.21,20.0,25.0,12.0,9.0,14.0,0.0,10.0,b'N'
2.0,5.0,1.0,0.0,4.0,8.0,3.0,0.5,4.0,2.0,0.0,12.0,1.0,0.0,6.0,0.0,2.0,0.0,12.2,11.14,1514.69,0.05,32.0,0.09,84.15,135.93,0.0,2.0,4.0,11.0,0.21,13.0,19.0,7.0,12.0,14.0,40.0,6.0,b'N'
18.0,1.0,12.0,15.0,10.0,0.0,1.0,0.04,0.0,1.0,1.0,19.0,1.0,0.0,9.0,0.0,0.0,0.0,116.97,4.03,1903.85,0.16,92.0,0.25,105.77,471.89,1.0,0.0,0.0,20.0,0.02,39.0,53.0,29.0,6.0,54.0,73.53,24.0,b'N'
2.0,6.0,0.0,0.0,0.0,0.0,5.0,0.45,0.0,1.0,0.0,12.0,1.0,0.0,11.0,0.0,1.0,0.0,22.96,8.8,1778.01,0.07,46.0,0.11,98.78,202.05,0.0,0.0,0.0,9.0,0.33,16.0,30.0,10.0,11.0,15.0,0.0,11.0,b'N'
4.0,7.0,2.0,0.0,21.0,10.0,4.0,0.36,4.0,3.0,0.0,11.0,4.0,1.0,11.0,0.0,0.0,0.0,16.32,10.11,1668.32,0.05,37.0,0.1,92.68,165.0,1.0,3.0,5.0,9.0,0.11,14.0,23.0,9.0,13.0,38.0,65.63,11.0,b'N'
22.0,1.0,13.0,12.0,88.0,0.0,1.0,0.05,0.0,1.0,1.0,19.0,1.0,0.0,10.0,0.0,1.0,1.0,122.07,3.6,1582.0,0.15,85.0,0.28,87.89,439.44,1.0,0.0,0.0,20.0,0.01,36.0,49.0,30.0,6.0,134.0,90.91,22.0,b'Y'
3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.08,0.0,1.0,1.0,6.0,1.0,0.0,10.0,0.0,0.0,0.0,37.94,7.39,2073.4,0.09,62.0,0.14,115.19,280.46,1.0,0.0,0.0,7.0,0.06,23.0,39.0,14.0,9.0,18.0,23.08,13.0,b'N'
24.0,1.0,6.0,0.0,0.0,0.0,1.0,0.07,0.0,1.0,1.0,9.0,1.0,0.0,14.0,0.0,1.0,1.0,40.49,6.62,1773.03,0.09,57.0,0.15,98.5,267.93,1.0,0.0,0.0,10.0,0.02,25.0,32.0,17.0,9.0,41.0,0.0,14.0,b'N'
0.0,5.0,1.0,0.0,0.0,8.0,3.0,0.33,4.0,2.0,0.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,8.55,13.0,1444.74,0.04,31.0,0.08,80.26,111.13,0.0,2.0,4.0,8.0,0.27,13.0,18.0,4.0,8.0,11.0,0.0,9.0,b'N'
0.0,5.0,1.0,0.0,1.0,8.0,3.0,0.3,4.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,2.0,0.0,15.82,9.29,1364.49,0.05,34.0,0.11,75.81,146.95,0.0,2.0,4.0,8.0,0.23,10.0,24.0,7.0,13.0,13.0,9.09,10.0,b'N'
2.0,5.0,1.0,0.0,0.0,8.0,3.0,0.3,4.0,2.0,0.0,12.0,1.0,0.0,10.0,0.0,0.0,0.0,28.99,6.92,1389.28,0.07,45.0,0.14,77.18,200.67,0.0,2.0,4.0,11.0,0.21,20.0,25.0,13.0,9.0,14.0,0.0,10.0,b'N'
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.38,4.0,3.0,1.0,13.0,1.0,0.0,8.0,0.0,0.0,0.0,14.4,10.0,1440.0,0.05,36.0,0.1,80.0,144.0,0.0,2.0,4.0,12.0,0.27,12.0,24.0,6.0,10.0,11.0,0.0,8.0,b'N'
3.0,5.0,7.0,0.0,2.0,8.0,3.0,0.2,4.0,3.0,1.0,15.0,1.0,0.0,15.0,0.0,0.0,0.0,35.66,6.3,1415.38,0.07,49.0,0.16,78.63,224.66,0.0,2.0,4.0,14.0,0.14,21.0,28.0,15.0,9.0,22.0,11.76,15.0,b'N'
4.0,3.0,3.0,0.0,22.0,0.0,2.0,0.17,0.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,0.0,0.0,21.34,9.45,1907.34,0.07,44.0,0.11,105.96,201.74,0.0,0.0,0.0,7.0,0.05,16.0,28.0,11.0,13.0,40.0,64.7,12.0,b'N'
2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,1.0,1.0,0.0,9.0,3.0,1.0,1.0,34.6,7.71,2058.87,0.09,59.0,0.13,114.38,266.89,1.0,0.0,0.0,2.0,0.06,24.0,35.0,14.0,9.0,17.0,0.0,9.0,b'N'
4.0,5.0,2.0,0.0,1.0,8.0,3.0,0.17,4.0,3.0,1.0,13.0,1.0,0.0,18.0,0.0,0.0,0.0,28.22,8.25,1920.54,0.08,53.0,0.12,106.7,232.79,0.0,2.0,4.0,12.0,0.12,22.0,31.0,12.0,9.0,25.0,5.26,18.0,b'N'
6.0,3.0,1.0,10.0,4.0,4.0,2.0,0.11,2.0,1.0,0.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0,37.47,6.46,1564.54,0.08,57.0,0.15,86.92,242.13,0.0,1.0,2.0,8.0,0.07,28.0,29.0,13.0,6.0,30.0,63.64,18.0,b'N'
1.0,1.0,1.0,0.0,7.0,0.0,1.0,0.11,0.0,1.0,1.0,8.0,1.0,0.0,9.0,0.0,0.0,0.0,41.68,6.43,1722.6,0.09,62.0,0.16,95.7,267.96,1.0,0.0,0.0,9.0,0.05,30.0,32.0,14.0,6.0,19.0,43.75,9.0,b'N'
1.0,3.0,2.0,0.0,1.0,4.0,2.0,0.2,2.0,2.0,1.0,7.0,1.0,0.0,10.0,0.0,2.0,1.0,14.14,10.56,1577.39,0.05,34.0,0.09,87.63,149.34,0.0,1.0,2.0,7.0,0.14,13.0,21.0,8.0,13.0,14.0,9.09,10.0,b'N'
3.0,5.0,0.0,0.0,0.0,8.0,3.0,0.25,4.0,1.0,0.0,10.0,1.0,0.0,12.0,0.0,1.0,0.0,15.35,9.64,1427.14,0.05,37.0,0.1,79.29,148.0,0.0,2.0,4.0,9.0,0.18,15.0,22.0,7.0,9.0,17.0,0.0,12.0,b'N'
3.0,5.0,3.0,0.0,2.0,8.0,3.0,0.25,4.0,3.0,1.0,16.0,1.0,0.0,12.0,0.0,3.0,1.0,21.89,8.0,1401.09,0.06,42.0,0.13,77.84,175.14,0.0,2.0,4.0,15.0,0.16,16.0,26.0,9.0,9.0,19.0,14.29,12.0,b'N'
2.0,3.0,2.0,0.0,2.0,4.0,2.0,0.25,2.0,2.0,1.0,6.0,1.0,0.0,8.0,1.0,2.0,1.0,9.47,12.38,1450.43,0.04,30.0,0.08,80.58,117.21,0.0,1.0,2.0,6.0,0.14,9.0,21.0,4.0,11.0,14.0,20.0,8.0,b'N'
1.0,11.0,0.0,0.0,3.0,20.0,6.0,0.3,10.0,1.0,0.0,17.0,6.0,1.0,20.0,0.0,5.0,0.0,17.54,9.33,1528.02,0.05,43.0,0.11,84.89,163.72,1.0,5.0,10.0,13.0,0.23,14.0,29.0,6.0,8.0,26.0,13.04,20.0,b'N'
4.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,2.0,1.0,14.7,10.21,1533.34,0.05,36.0,0.1,85.19,150.12,0.0,1.0,2.0,7.0,0.11,13.0,23.0,7.0,11.0,18.0,0.0,12.0,b'N'
2.0,5.0,0.0,0.0,0.0,8.0,3.0,0.21,4.0,1.0,0.0,9.0,3.0,1.0,14.0,0.0,0.0,0.0,13.88,10.21,1448.16,0.05,34.0,0.1,80.45,141.78,1.0,2.0,4.0,8.0,0.17,13.0,21.0,7.0,11.0,18.0,0.0,14.0,b'N'
3.0,3.0,3.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,1.0,12.0,1.0,0.0,10.0,0.0,2.0,1.0,20.57,8.56,1505.78,0.06,44.0,0.12,83.65,176.0,0.0,1.0,2.0,12.0,0.13,22.0,22.0,9.0,7.0,15.0,0.0,10.0,b'N'
4.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,0.0,0.0,12.63,11.0,1528.71,0.05,34.0,0.09,84.93,138.97,0.0,1.0,2.0,7.0,0.11,12.0,22.0,6.0,11.0,18.0,0.0,12.0,b'N'
1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.08,0.0,1.0,1.0,7.0,1.0,0.0,12.0,0.0,0.0,0.0,28.22,7.27,1491.17,0.07,46.0,0.14,82.84,205.13,1.0,0.0,0.0,8.0,0.06,21.0,25.0,13.0,9.0,16.0,7.69,12.0,b'N'
0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.2,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,17.9,9.1,1481.92,0.05,36.0,0.11,82.33,162.85,1.0,0.0,0.0,3.0,0.1,14.0,22.0,10.0,13.0,10.0,37.5,5.0,b'N'
2.0,3.0,0.0,2.0,0.0,4.0,2.0,0.17,2.0,1.0,0.0,6.0,1.0,0.0,10.0,0.0,2.0,1.0,10.97,11.67,1493.33,0.04,32.0,0.09,82.96,128.0,0.0,1.0,2.0,6.0,0.13,14.0,18.0,6.0,10.0,16.0,16.67,12.0,b'N'
0.0,3.0,5.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,1.0,9.0,1.0,0.0,10.0,0.0,2.0,1.0,22.09,9.0,1789.28,0.07,46.0,0.11,99.4,198.81,0.0,1.0,2.0,9.0,0.18,22.0,24.0,11.0,9.0,11.0,0.0,10.0,b'N'
4.0,5.0,1.0,0.0,2.0,6.0,3.0,0.38,2.0,1.0,0.0,8.0,3.0,1.0,8.0,0.0,3.0,1.0,13.78,10.08,1401.32,0.05,34.0,0.1,77.85,138.97,1.0,2.0,3.0,7.0,0.19,11.0,23.0,6.0,11.0,16.0,20.0,8.0,b'N'
16.0,1.0,11.0,12.0,8.0,0.0,1.0,0.05,0.0,1.0,1.0,18.0,1.0,0.0,8.0,0.0,1.0,1.0,108.16,3.78,1543.58,0.14,81.0,0.26,85.75,408.6,1.0,0.0,0.0,19.0,0.02,34.0,47.0,27.0,6.0,46.0,71.43,20.0,b'N'
3.0,5.0,3.0,1.0,8.0,8.0,3.0,0.23,4.0,3.0,1.0,16.0,1.0,0.0,12.0,0.0,0.0,0.0,23.67,9.09,1956.58,0.07,49.0,0.11,108.7,215.22,0.0,2.0,4.0,15.0,0.12,20.0,29.0,11.0,10.0,26.0,42.86,13.0,b'N'
2.0,3.0,3.0,0.0,1.0,4.0,2.0,0.2,2.0,2.0,1.0,12.0,1.0,0.0,10.0,0.0,0.0,0.0,35.57,7.35,1922.93,0.09,55.0,0.14,106.83,261.51,0.0,1.0,2.0,12.0,0.13,25.0,30.0,17.0,10.0,15.0,9.09,10.0,b'N'
4.0,5.0,5.0,0.0,4.0,8.0,3.0,0.2,4.0,3.0,1.0,18.0,1.0,0.0,15.0,0.0,0.0,0.0,43.59,6.0,1569.11,0.09,55.0,0.17,87.17,261.51,0.0,2.0,4.0,17.0,0.12,24.0,31.0,18.0,9.0,25.0,21.05,15.0,b'N'
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,25.18,7.5,1416.52,0.06,43.0,0.13,78.7,188.87,1.0,0.0,0.0,2.0,0.11,20.0,23.0,12.0,9.0,9.0,0.0,7.0,b'N'
3.0,3.0,0.0,5.0,0.0,4.0,2.0,0.15,2.0,1.0,0.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0,24.82,8.4,1751.07,0.07,51.0,0.12,97.28,208.46,0.0,1.0,2.0,7.0,0.11,24.0,27.0,10.0,7.0,18.0,38.46,13.0,b'N'
0.0,5.0,1.0,0.0,1.0,8.0,3.0,0.3,4.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,0.0,15.82,9.29,1364.49,0.05,34.0,0.11,75.81,146.95,0.0,2.0,4.0,8.0,0.23,10.0,24.0,7.0,13.0,13.0,9.09,10.0,b'N'
3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.06,0.0,1.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,60.75,5.33,1728.0,0.11,81.0,0.19,96.0,324.0,1.0,0.0,0.0,2.0,0.04,32.0,49.0,12.0,4.0,24.0,10.53,17.0,b'N'
23.0,1.0,14.0,10.0,12.0,0.0,1.0,0.04,0.0,1.0,1.0,21.0,1.0,0.0,14.0,0.0,1.0,1.0,139.3,3.71,1913.08,0.17,97.0,0.27,106.28,516.23,1.0,0.0,0.0,22.0,0.02,42.0,55.0,34.0,6.0,61.0,61.11,24.0,b'N'
3.0,5.0,3.0,0.0,3.0,8.0,1.0,0.06,4.0,1.0,1.0,14.0,1.0,0.0,17.0,0.0,0.0,0.0,30.3,8.07,1971.68,0.08,52.0,0.12,109.54,244.42,1.0,2.0,4.0,13.0,0.04,22.0,30.0,15.0,11.0,25.0,15.0,17.0,b'N'
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,7.0,1.0,0.0,9.0,0.0,1.0,1.0,16.05,10.31,1708.46,0.06,39.0,0.1,94.91,165.67,1.0,0.0,0.0,8.0,0.09,15.0,24.0,8.0,11.0,11.0,0.0,9.0,b'N'
2.0,5.0,3.0,1.0,0.0,8.0,3.0,0.25,4.0,2.0,0.0,15.0,1.0,0.0,11.0,0.0,2.0,0.0,18.8,10.5,2072.88,0.07,42.0,0.1,115.16,197.42,0.0,2.0,4.0,14.0,0.19,18.0,24.0,12.0,14.0,16.0,8.33,12.0,b'N'
2.0,5.0,2.0,1.0,0.0,8.0,3.0,0.25,4.0,2.0,0.0,13.0,1.0,0.0,11.0,0.0,0.0,0.0,16.8,10.91,1999.82,0.06,39.0,0.09,111.1,183.32,0.0,2.0,4.0,12.0,0.19,16.0,23.0,11.0,15.0,16.0,8.33,12.0,b'N'
4.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,0.0,0.0,14.7,10.21,1533.34,0.05,36.0,0.1,85.19,150.12,0.0,1.0,2.0,7.0,0.11,13.0,23.0,7.0,11.0,18.0,0.0,12.0,b'N'
3.0,5.0,6.0,0.0,3.0,8.0,1.0,0.07,4.0,1.0,1.0,16.0,1.0,0.0,15.0,0.0,0.0,0.0,32.04,6.6,1396.03,0.07,45.0,0.15,77.56,211.52,1.0,2.0,4.0,15.0,0.04,18.0,27.0,15.0,11.0,23.0,16.67,15.0,b'N'
3.0,5.0,3.0,0.0,3.0,8.0,1.0,0.06,4.0,1.0,1.0,14.0,1.0,0.0,17.0,0.0,1.0,1.0,30.3,8.07,1971.68,0.08,52.0,0.12,109.54,244.42,1.0,2.0,4.0,13.0,0.04,22.0,30.0,15.0,11.0,25.0,15.0,17.0,b'N'
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.44,6.0,2.0,0.0,13.0,1.0,0.0,9.0,0.0,0.0,0.0,10.57,12.86,1747.72,0.05,32.0,0.08,97.1,135.93,0.0,3.0,6.0,11.0,0.33,15.0,17.0,7.0,12.0,12.0,0.0,9.0,b'N'
22.0,1.0,12.0,13.0,85.0,0.0,1.0,0.05,0.0,1.0,1.0,18.0,1.0,0.0,8.0,0.0,1.0,1.0,114.32,3.72,1585.48,0.14,83.0,0.27,88.08,425.73,1.0,0.0,0.0,19.0,0.01,36.0,47.0,29.0,6.0,130.0,92.45,21.0,b'N'
3.0,3.0,0.0,5.0,0.0,4.0,2.0,0.15,2.0,1.0,0.0,7.0,1.0,0.0,8.0,0.0,2.0,1.0,24.82,8.4,1751.07,0.07,51.0,0.12,97.28,208.46,0.0,1.0,2.0,7.0,0.11,24.0,27.0,10.0,7.0,18.0,38.46,13.0,b'N'
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.38,4.0,3.0,1.0,13.0,1.0,0.0,8.0,0.0,3.0,1.0,14.4,10.0,1440.0,0.05,36.0,0.1,80.0,144.0,0.0,2.0,4.0,12.0,0.27,12.0,24.0,6.0,10.0,11.0,0.0,8.0,b'N'
2.0,3.0,0.0,3.0,0.0,4.0,2.0,0.2,2.0,1.0,0.0,7.0,1.0,0.0,7.0,1.0,2.0,1.0,8.72,13.0,1472.9,0.04,29.0,0.08,81.83,113.3,0.0,1.0,2.0,7.0,0.14,13.0,16.0,5.0,10.0,14.0,30.0,10.0,b'N'
4.0,5.0,1.0,0.0,2.0,6.0,3.0,0.38,2.0,1.0,0.0,8.0,3.0,1.0,8.0,0.0,0.0,0.0,13.78,10.08,1401.32,0.05,34.0,0.1,77.85,138.97,1.0,2.0,3.0,7.0,0.19,11.0,23.0,6.0,11.0,16.0,20.0,8.0,b'N'
19.0,1.0,13.0,12.0,6.0,0.0,1.0,0.04,0.0,1.0,1.0,20.0,1.0,0.0,11.0,0.0,0.0,0.0,134.27,3.82,1957.52,0.17,97.0,0.26,108.75,512.67,1.0,0.0,0.0,21.0,0.02,42.0,55.0,33.0,6.0,50.0,62.07,23.0,b'N'
0.0,1.0,4.0,2.0,4.0,0.0,1.0,0.25,0.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,22.58,8.13,1490.75,0.06,44.0,0.12,82.82,183.48,1.0,0.0,0.0,6.0,0.1,13.0,31.0,8.0,10.0,10.0,75.0,4.0,b'N'
4.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,2.0,1.0,12.63,11.0,1528.71,0.05,34.0,0.09,84.93,138.97,0.0,1.0,2.0,7.0,0.11,12.0,22.0,6.0,11.0,18.0,0.0,12.0,b'N'
4.0,3.0,3.0,0.0,22.0,0.0,2.0,0.17,0.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,2.0,1.0,21.34,9.45,1907.34,0.07,44.0,0.11,105.96,201.74,0.0,0.0,0.0,7.0,0.05,16.0,28.0,11.0,13.0,40.0,64.7,12.0,b'N'
24.0,7.0,3.0,0.0,2.0,0.0,4.0,0.24,0.0,4.0,1.0,16.0,3.0,0.0,17.0,0.0,3.0,0.0,23.6,8.1,1548.37,0.06,45.0,0.12,86.02,191.16,0.0,0.0,0.0,14.0,0.09,18.0,27.0,10.0,9.0,46.0,10.53,17.0,b'N'
2.0,5.0,0.0,0.0,0.0,8.0,3.0,0.21,4.0,1.0,0.0,9.0,3.0,1.0,14.0,0.0,3.0,1.0,13.88,10.21,1448.16,0.05,34.0,0.1,80.45,141.78,1.0,2.0,4.0,8.0,0.17,13.0,21.0,7.0,11.0,18.0,0.0,14.0,b'N'
3.0,5.0,0.0,5.0,0.0,8.0,3.0,0.27,4.0,1.0,0.0,12.0,1.0,0.0,6.0,0.0,0.0,0.0,13.67,11.43,1786.01,0.05,40.0,0.09,99.22,156.28,0.0,2.0,4.0,11.0,0.19,20.0,20.0,7.0,8.0,16.0,45.45,11.0,b'N'
3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.06,0.0,1.0,1.0,1.0,1.0,0.0,17.0,0.0,1.0,1.0,60.75,5.33,1728.0,0.11,81.0,0.19,96.0,324.0,1.0,0.0,0.0,2.0,0.04,32.0,49.0,12.0,4.0,24.0,10.53,17.0,b'N'
3.0,7.0,2.0,0.0,4.0,12.0,4.0,0.5,6.0,4.0,1.0,14.0,1.0,0.0,8.0,0.0,4.0,1.0,21.25,8.73,1618.61,0.06,41.0,0.11,89.92,185.47,0.0,3.0,6.0,12.0,0.24,16.0,25.0,11.0,12.0,17.0,33.33,8.0,b'N'
2.0,3.0,2.0,0.0,2.0,4.0,2.0,0.25,2.0,2.0,1.0,6.0,1.0,0.0,8.0,1.0,0.0,0.0,9.47,12.38,1450.43,0.04,30.0,0.08,80.58,117.21,0.0,1.0,2.0,6.0,0.14,9.0,21.0,4.0,11.0,14.0,20.0,8.0,b'N'
2.0,5.0,0.0,0.0,0.0,8.0,3.0,0.33,4.0,1.0,0.0,10.0,1.0,0.0,9.0,0.0,2.0,0.0,11.46,13.2,1996.32,0.05,37.0,0.08,110.91,151.24,0.0,2.0,4.0,9.0,0.23,11.0,26.0,5.0,12.0,13.0,0.0,9.0,b'N'
2.0,5.0,1.0,0.0,0.0,8.0,3.0,0.3,4.0,2.0,0.0,12.0,1.0,0.0,10.0,0.0,3.0,1.0,28.99,6.92,1389.28,0.07,45.0,0.14,77.18,200.67,0.0,2.0,4.0,11.0,0.21,20.0,25.0,13.0,9.0,14.0,0.0,10.0,b'N'
